DATE,IPUTIL
1992-02-01,73.5141
1992-03-01,73.2458
1992-04-01,74.9572
1992-05-01,73.9011
1992-06-01,72.8229
1992-07-01,73.2703
1992-08-01,73.0438
1992-09-01,74.1392
1992-10-01,75.383
1992-11-01,76.0305
1992-12-01,77.297
1993-01-01,74.6825
1993-02-01,76.7246
1993-03-01,77.4926
1993-04-01,76.6073
1993-05-01,74.5171
1993-06-01,76.4103
1993-07-01,77.5031
1993-08-01,77.9858
1993-09-01,77.1084
1993-10-01,76.8512
1993-11-01,77.3537
1993-12-01,77.6680
1994-01-01,79.9436
1994-02-01,79.1434
1994-03-01,77.8446
1994-04-01,77.1081
1994-05-01,76.7703
1994-06-01,80.0648
1994-07-01,78.6418
1994-08-01,78.0968
1994-09-01,78.0337
1994-10-01,78.3083
1994-11-01,77.7844
1994-12-01,77.8749
1995-01-01,78.4937
1995-02-01,79.2098
1995-03-01,79.1519
1995-04-01,79.9022
1995-05-01,81.0993
1995-06-01,80.5609
1995-07-01,81.5649
1995-08-01,84.8147
1995-09-01,81.3085
1995-10-01,81.394
1995-11-01,82.4210
1995-12-01,83.0571
1996-01-01,83.8235
1996-02-01,84.9065
1996-03-01,84.6667
1996-04-01,84.1052
1996-05-01,84.9838
1996-06-01,83.8546
1996-07-01,80.9673
1996-08-01,82.0066
1996-09-01,81.6637
1996-10-01,82.51
1996-11-01,83.9941
1996-12-01,83.0502
1997-01-01,83.7945
1997-02-01,82.841
1997-03-01,81.0402
1997-04-01,82.9144
1997-05-01,81.793
1997-06-01,81.4128
1997-07-01,83.1526
1997-08-01,82.7891
1997-09-01,83.7397
1997-10-01,85.2472
1997-11-01,85.1712
1997-12-01,84.8046
1998-01-01,81.4294
1998-02-01,82.3633
1998-03-01,84.8287
1998-04-01,84.0362
1998-05-01,85.7013
1998-06-01,87.1045
1998-07-01,87.3691
1998-08-01,86.8703
1998-09-01,88.3202
1998-10-01,87.4151
1998-11-01,85.1912
1998-12-01,85.3874
1999-01-01,87.363
1999-02-01,85.9412
1999-03-01,88.5236
1999-04-01,87.9076
1999-05-01,87.1612
1999-06-01,88.4154
1999-07-01,90.325
1999-08-01,89.2153
1999-09-01,88.6222
1999-10-01,88.3386
1999-11-01,87.0659
1999-12-01,88.57
2000-01-01,88.4782
2000-02-01,89.6346
2000-03-01,87.1668
2000-04-01,89.028
2000-05-01,92.3354
2000-06-01,90.9781
2000-07-01,88.28
2000-08-01,90.8688
2000-09-01,91.3048
2000-10-01,90.3984
2000-11-01,93.6025
2000-12-01,95.7475
2001-01-01,93.939
2001-02-01,92.069
2001-03-01,91.4072
2001-04-01,90.932
2001-05-01,90.2076
2001-06-01,90.4758
2001-07-01,88.9099
2001-08-01,91.3083
2001-09-01,89.3418
2001-10-01,90.1695
2001-11-01,88.1636
2001-12-01,86.99
2002-01-01,88.9467
2002-02-01,89.3935
2002-03-01,91.8143
2002-04-01,93.9608
2002-05-01,93.3924
2002-06-01,93.4658
2002-07-01,94.3805
2002-08-01,92.3032
2002-09-01,93.991
2002-10-01,95.1517
2002-11-01,94.8331
2002-12-01,93.8617
2003-01-01,95.2774
2003-02-01,97.3398
2003-03-01,93.9947
2003-04-01,94.1557
2003-05-01,94.0592
2003-06-01,91.5533
2003-07-01,94.3369
2003-08-01,94.8042
2003-09-01,93.9312
2003-10-01,94.4552
2003-11-01,94.6827
2003-12-01,95.8169
2004-01-01,97.4616
2004-02-01,98.3868
2004-03-01,94.3984
2004-04-01,95.8711
2004-05-01,97.7874
2004-06-01,95.5461
2004-07-01,94.0976
2004-08-01,91.8565
2004-09-01,95.7002
2004-10-01,95.9254
2004-11-01,96.223
2004-12-01,97.9801
2005-01-01,96.4094
2005-02-01,95.2575
2005-03-01,98.1021
2005-04-01,96.2543
2005-05-01,96.153
2005-06-01,99.275
2005-07-01,99.3332
2005-08-01,99.01
2005-09-01,100.2637
2005-10-01,98.3257
2005-11-01,97.4525
2005-12-01,100.393
2006-01-01,92.3183
2006-02-01,95.7452
2006-03-01,98.1699
2006-04-01,97.4105
2006-05-01,98.6346
2006-06-01,99.1121
2006-07-01,100.6035
2006-08-01,99.7742
2006-09-01,96.7262
2006-10-01,98.6856
2006-11-01,99.097
2006-12-01,95.9301
2007-01-01,98.0081
2007-02-01,104.0988
2007-03-01,99.235
2007-04-01,100.8649
2007-05-01,101.0477
2007-06-01,99.1967
2007-07-01,98.1045
2007-08-01,102.7579
2007-09-01,102.8224
2007-10-01,101.5732
2007-11-01,101.6373
2007-12-01,99.6747
2008-01-01,100.915
2008-02-01,102.3321
2008-03-01,101.5333
2008-04-01,101.5457
2008-05-01,100.3444
2008-06-01,101.8081
2008-07-01,100.4338
2008-08-01,96.7837
2008-09-01,98.6986
2008-10-01,99.395
2008-11-01,100.7532
2008-12-01,100.3175
2009-01-01,100.2017
2009-02-01,97.3443
2009-03-01,98.618
2009-04-01,98.1921
2009-05-01,96.8335
2009-06-01,96.007
2009-07-01,94.7034
2009-08-01,95.7288
2009-09-01,96.8094
2009-10-01,98.9685
2009-11-01,96.0013
2009-12-01,101.1895
2010-01-01,101.6897
2010-02-01,103.1997
2010-03-01,99.7026
2010-04-01,96.6448
2010-05-01,100.694
2010-06-01,102.6973
2010-07-01,101.8141
2010-08-01,102.0973
2010-09-01,102.136
2010-10-01,98.7616
2010-11-01,99.9678
2010-12-01,105.2642
2011-01-01,103.0824
2011-02-01,101.2721
2011-03-01,100.9832
2011-04-01,100.5785
2011-05-01,100.0397
2011-06-01,101.1834
2011-07-01,102.8997
2011-08-01,102.7928
2011-09-01,100.9923
2011-10-01,99.6876
2011-11-01,98.9342
2011-12-01,97.6841
2012-01-01,95.0277
2012-02-01,95.7146
2012-03-01,94.3668
2012-04-01,97.7515
2012-05-01,101.9703
2012-06-01,99.7748
2012-07-01,101.5648
2012-08-01,100.4166
2012-09-01,98.7034
2012-10-01,100.5164
2012-11-01,99.5031
2012-12-01,96.7119
2013-01-01,98.0854
2013-02-01,98.6802
2013-03-01,102.7037
2013-04-01,102.3415
2013-05-01,100.165
2013-06-01,99.0733
2013-07-01,98.9786
2013-08-01,98.7392
2013-09-01,99.9901
2013-10-01,101.4836
2013-11-01,102.6642
2013-12-01,105.2845
2014-01-01,106.1989
2014-02-01,105.2518
2014-03-01,104.7741
2014-04-01,101.8637
2014-05-01,101.6407
2014-06-01,99.9122
2014-07-01,97.7096
2014-08-01,98.5397
2014-09-01,100.6562
2014-10-01,101.2957
2014-11-01,104.3604
2014-12-01,101.401
2015-01-01,102.3412
2015-02-01,107.6367
2015-03-01,104.4282
2015-04-01,101.5478
2015-05-01,100.3176
2015-06-01,101.1503
2015-07-01,100.4945
2015-08-01,100.8267
2015-09-01,101.7979
2015-10-01,100.3678
2015-11-01,97.7041
2015-12-01,95.85
2016-01-01,99.7525
2016-02-01,99.5188
2016-03-01,95.4301
2016-04-01,101.42
2016-05-01,99.8684
2016-06-01,102.7484
2016-07-01,102.918
2016-08-01,105.0214
2016-09-01,102.5362
2016-10-01,99.5729
2016-11-01,97.0916
2016-12-01,103.2934
2017-01-01,97.7917
2017-02-01,92.9505
2017-03-01,99.7697
2017-04-01,99.6819
2017-05-01,100.7197
2017-06-01,100.8676
2017-07-01,101.4092
2017-08-01,99.7022
2017-09-01,99.2628
2017-10-01,101.4093
2017-11-01,101.4209
2017-12-01,105.0147
2018-01-01,107.6657
2018-02-01,100.6777
2018-03-01,103.5094
2018-04-01,107.9306
2018-05-01,104.3063
2018-06-01,104.3901
2018-07-01,103.5718
2018-08-01,104.629
2018-09-01,104.343
2018-10-01,106.0991
2018-11-01,107.919
2018-12-01,103.3741
2019-01-01,104.3179
2019-02-01,105.121
2019-03-01,106.4615
2019-04-01,103.0713
2019-05-01,104.0261
2019-06-01,100.8029
2019-07-01,103.8227
2019-08-01,103.0303
2019-09-01,105.1544
2019-10-01,104.1902
2019-11-01,105.6527
2019-12-01,102.4996
